Date,ret_1d,ret_5d,ret_10d,ret_20d,ret_60d,ret_120d,mom_accel,vol_20d,vol_60d,parkinson_vol,vol_ratio,volume_ratio,volume_change,volume_mom,price_volume_div,rsi,ma5_bias,ma20_bias,ma_alignment,macd,macd_signal,macd_hist,bb_position,atr,amihud,hl_spread,roll_spread,52w_position,from_52w_high,overnight_ret,intraday_ret,gap,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,ROE,ROA,Debt_to_Equity,Dividend_Yield,Earnings_Growth,Revenue_Growth,Profit_Margin,Operating_Margin,Market_Cap,Beta,52Week_High,52Week_Low
2010-01-19,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-20,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-21,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-22,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-25,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-26,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-27,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-28,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-01-29,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-01,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-02,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-03,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-04,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-05,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-08,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-09,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-10,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-11,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-12,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-16,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-17,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-18,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-19,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-22,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-23,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-24,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-02-25,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
